idccaa,gasoleo_a,gasolina_95,municipio,rotulo,low_cost
09,1.479,1.539,Abrera,NIEVES,TRUE
09,1.479,1.539,Abrera,GALP,FALSE
09,1.479,1.539,Abrera,HAM,TRUE
09,1.479,1.539,Abrera,BALTRAN S.A,TRUE
09,1.479,1.539,Abrera,TRANSPORTES SOLAZO,TRUE
09,1.479,1.539,Abrera,HAM,TRUE
09,1.479,1.539,Alella,AUTONETOIL,TRUE
09,1.479,1.539,Alella,BP ALELLA,TRUE
09,1.479,1.539,Ametlla del Vallès (L'),PETROLIS INDEPENDENTS - PETRO7,TRUE
09,1.479,1.539,Ametlla del Vallès (L'),PETROCAT,TRUE
09,1.479,1.539,Arenys de Mar,BP ARENYS DE MAR,TRUE
09,1.479,1.539,Arenys de Mar,PETROMARESWAGEN,TRUE
09,1.479,1.539,Arenys de Mar,P FUEL EXPRESS,TRUE
09,1.479,1.539,Arenys de Munt,REPSOL,FALSE
09,1.479,1.539,Argentona,PETROCAT,TRUE
09,1.479,1.539,Artés,MEROIL,TRUE
09,1.479,1.539,Avinyó,E.S.  AVINYÓ   -CEPSA-,TRUE
09,1.479,1.539,Badalona,REPSOL,FALSE
09,1.479,1.539,Badalona,EVOLUTION,TRUE
09,1.479,1.539,Badalona,FITOGAS,TRUE
09,1.479,1.539,Badalona,BP,FALSE
09,1.479,1.539,Badalona,REPSOL,FALSE
09,1.479,1.539,Badalona,LOWCOSTFUEL,TRUE
09,1.479,1.539,Badalona,CEPSA,FALSE
09,1.479,1.539,Badalona,CARREFOUR,TRUE
09,1.479,1.539,Badalona,REPSOL,FALSE
09,1.479,1.539,Badalona,TAMOIL,TRUE
09,1.479,1.539,Badalona,BONAREA,FALSE
09,1.479,1.539,Badalona,SHELL,FALSE
09,1.479,1.539,Badalona,ESCLATOIL,TRUE
09,1.479,1.539,Badalona,REPSOL,FALSE
09,1.479,1.539,Badalona,REPSOL,FALSE
09,1.479,1.539,Badalona,BP BADANOR,TRUE
09,1.479,1.539,Badalona,BP MONTIGALA,TRUE
09,1.479,1.539,Badia del Vallès,REPSOL,FALSE
09,1.479,1.539,Balenyà,ESTACIO DE SERVEIS BALENYA,TRUE
09,1.479,1.539,Balsareny,PETROBAGES S.L.,TRUE
09,1.479,1.539,Barberà del Vallès,REPSOL,FALSE
09,1.479,1.539,Barberà del Vallès,REPSOL,FALSE
09,1.479,1.539,Barberà del Vallès,BP SANTIGA,TRUE
09,1.479,1.539,Barberà del Vallès,BALLENOIL,TRUE
09,1.479,1.539,Barberà del Vallès,PETROLOWCOST,TRUE
09,1.479,1.539,Barcelona,NATURGY,TRUE
09,1.479,1.539,Barcelona,Q8,FALSE
09,1.479,1.539,Barcelona,CAMPSA,FALSE
09,1.479,1.539,Barcelona,SHELL VILLA OLIMPICA,TRUE
09,1.479,1.539,Barcelona,REPSOL,FALSE
09,1.479,1.539,Barcelona,REPSOL,FALSE
09,1.479,1.539,Barcelona,BENZINERA POBLE NOU,TRUE
09,1.479,1.539,Barcelona,M AUTOMOCION,TRUE
09,1.479,1.539,Barcelona,BP ALMOGAVARES,TRUE
09,1.479,1.539,Barcelona,SHELL GLORIAS,TRUE
09,1.479,1.539,Barcelona,CEPSA,FALSE
09,1.479,1.539,Barcelona,CEPSA,FALSE
09,1.479,1.539,Barcelona,B-OIL,TRUE
09,1.479,1.539,Barcelona,EVOLUTION,TRUE
09,1.479,1.539,Barcelona,GALP,FALSE
09,1.479,1.539,Barcelona,GALP,FALSE
09,1.479,1.539,Barcelona,REPSOL,FALSE
09,1.479,1.539,Barcelona,REPSOL,FALSE
09,1.479,1.539,Barcelona,REPSOL,FALSE
09,1.479,1.539,Barcelona,GALP,FALSE
09,1.479,1.539,Barcelona,PETROPRIX,TRUE
09,1.479,1.539,Barcelona,PETROMIRALLES,TRUE
09,1.479,1.539,Barcelona,GALP,FALSE
09,1.479,1.539,Barcelona,CEPSA,FALSE
09,1.479,1.539,Barcelona,CEPSA,FALSE
